Název okresu,Únor,Březen,Duben
Benešov,47518,42269,43789
Beroun,54285,56044,55231
Blansko,44748,41948,42675
Brno-město,70109,73996,74601
Brno-venkov,51601,52889,53549
Bruntál,18363,19289,19401
Břeclav,38198,40509,40065
Cheb,46827,46138,42361
Chomutov,19492,23596,21998
Chrudim,28295,32045,31693
Domažlice,27685,27695,27375
Děčín,22725,22120,21214
Frýdek-Místek,31666,33766,34060
Havlíčkův Brod,34406,34989,34028
Hlavní město Praha,99222,105115,104508
Hodonín,33238,34163,33531
Hradec Králové,45538,50372,51439
Jablonec nad Nisou,27193,35760,35678
Jeseník,26790,28705,26285
Jihlava,40002,40748,40520
Jindřichův Hradec,31772,36509,32937
Jičín,37675,38578,36523
Karlovy Vary,42577,43055,42710
Karviná,15063,16198,16288
Kladno,49788,51255,51438
Klatovy,48092,45562,44187
Kolín,41068,44990,45383
Kroměříž,33189,31236,33020
Kutná Hora,32907,30384,31472
Liberec,38127,42251,42119
Litoměřice,29597,31819,32564
Louny,20818,22958,23638
Mladá Boleslav,44699,49700,47961
Most,13083,13833,13746
Mělník,46778,49483,48994
Nový Jičín,23949,26637,27766
Nymburk,47995,47368,47196
Náchod,21640,24168,25951
Olomouc,48825,50248,49496
Opava,31783,31853,32848
Ostrava-město,28746,31181,30967
Pardubice,43625,45147,44081
Pelhřimov,40111,42529,39450
Plzeň-jih,32349,33288,30859
Plzeň-město,47621,49962,50348
Plzeň-sever,34263,36864,37043
Prachatice,58590,43240,45258
Praha-východ,63701,66962,64631
Praha-západ,68954,69944,72966
Prostějov,30481,30233,31263
Písek,40832,39268,37946
Přerov,27682,28054,27756
Příbram,38028,41520,41934
Rakovník,33620,30372,33223
Rokycany,34216,43817,32264
Rychnov nad Kněžnou,31696,34099,34127
Semily,56070,63050,61453
Sokolov,15702,17130,16825
Strakonice,25185,33543,34917
Svitavy,28360,29150,28971
Tachov,24874,26832,28943
Teplice,16244,16280,16021
Trutnov,59650,58355,56449
Tábor,34968,35481,33675
Třebíč,34615,34127,35499
Uherské Hradiště,35373,36625,39564
Vsetín,38283,38939,39265
Vyškov,47029,48330,48093
Zlín,46062,46954,46890
Znojmo,35823,38125,38194
Ústí nad Labem,20332,21979,21736
Ústí nad Orlicí,29207,27533,29202
Česká Lípa,24931,28353,27953
České Budějovice,45248,45974,46185
Český Krumlov,42946,46057,45291
Šumperk,27294,29384,29747
Žďár nad Sázavou,39216,39971,41058
